"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"24","CkendallAI","870035634425024512",2018-01-30 23:02:51,"958475624213032960","@beeonaposy communication and design/devops. The whole point of hiring a data scientist, as opposed to some other r… https://t.co/9MhbiZyUx7",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958475624213032960","beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","fishnets88","326295039",2018-01-30 22:59:38,"958474816306270208","@beeonaposy the ability to apply a simple heuristic before applying a fancy model.",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CkendallAI","870035634425024512",2018-01-30 22:58:12,"958474454652375040","@beeonaposy data munging and cleaning are undervalued tasks, but i dont think they should be core skills. Most data… https://t.co/9ZQxMvzji7",0,0,FALSE,NA,FALSE,NA,"958062683118624768","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958474454652375040","beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","mrhunsaker","220549359",2018-01-30 22:15:17,"958463657263812608","@beeonaposy GREP",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","IRBroadshow","1134857190",2018-01-30 22:14:59,"958463578083905536","@beeonaposy knowing how data can be manipulated at the experimental stage by use of geographic and other exclusion / inclusion criteria.",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","DCDave","6653",2018-01-30 22:14:32,"958463466569859078","@beeonaposy Knowing which statistic to interpret to determine whether your model is good.",0,1,FALSE,NA,FALSE,NA,"958062683118624768","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","data_bates","439605554",2018-01-30 21:53:47,"958458245072351232","@beeonaposy Communication with non-data scientists. There are a lot of misguided ideas about what data &amp; ML can do,… https://t.co/C6eVx3fK8g",0,2,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958458245072351232","beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","wildtypeMC","974602992",2018-01-30 20:59:24,"958444557301100544","@data_stephanie @beeonaposy @nmoorenz 100% agree. Figuring out the question behind the question is key to successful collaboration IMO",0,0,FALSE,NA,FALSE,NA,"958109889078972417","957284042633826306","data_stephanie","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"data_stephanie beeonaposy nmoorenz","957284042633826306 215035672 35411884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","TinaG_SD","1452126937",2018-01-30 20:13:23,"958432977771315200","@rctatman @beeonaposy @timClicks @joelgrus Pretty much my dream job. Where do I sign up?",0,0,FALSE,NA,FALSE,NA,"958114752995123202","101609102","rctatman","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"rctatman beeonaposy timClicks joelgrus","101609102 215035672 15188612 14092380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","katealamode","63526140",2018-01-30 18:13:29,"958402806410432512","@beeonaposy Appreciation of others. Truly impactful &amp; insightful analysis comes from collaboration and understandin… https://t.co/E1IhJueOFb",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958402806410432512","beeonaposy","215035672",NA,NA,NA,"5a110d312052166f","city","San Francisco","San Francisco, CA","US","United States","-122.514926 -122.357031 -122.357031 -122.514926 37.708075 37.708075 37.833238 37.833238","Polygon"
